,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Director,topBilled,TopBilled2nd,TopBilled3rd,primaryRegion,topBilledGender,secondTopBilledGender,thirdTopBilledGender,directorGender,Action,Adventure,Comedy,Drama,SciFi,Horror,Romance,Thriller,Mystery,Crime,Animation,Fantasy,Documentary,Musical,Sport,Adult,Western,Family,topBilled_Male,topBilled_Female,topBilled_Unknown,secondBilled_Male,secondBilled_Female,secondBilled_Unknown,thirdBilled_Male,thirdBilled_Female,thirdBilled_Unknown,director_Male,director_Female,director_Unknown,US_Region,bechdelScore
60,tt0017825,When Boys Leave Home,1927,80,"Adventure,Drama,Thriller",6.2,1600,Alfred Hitchcock,Ivor Novello,Ben Webster,Norman McKinnel,BR,Male,Male,Male,Male,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
61,tt0017925,The General,1926,67,"Action,Adventure,Comedy",8.2,61652,,Buster Keaton,Marion Mack,Glen Cavender,RS,Male,Female,Male,Unknown,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
62,tt0018033,It,1927,72,"Comedy,Romance",7.4,2467,,Clara Bow,Antonio Moreno,William Austin,ES,Female,Male,Male,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3
63,tt0018037,The Jazz Singer,1927,88,"Drama,Music,Musical",6.8,7624,Alan Crosland,Al Jolson,May McAvoy,Warner Oland,XYU,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
64,tt0018051,The Kid Brother,1927,82,"Comedy,Drama,Family",7.6,3040,,Harold Lloyd,Jobyna Ralston,Walter James,\N,Male,Unknown,Male,Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
65,tt0018183,My Best Girl,1927,80,"Comedy,Romance",7.6,693,Sam Taylor,Mary Pickford,Charles 'Buddy' Rogers,Sunshine Hart,PT,Female,Male,Female,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3
66,tt0018192,Napoleon,1927,240,"Biography,Drama,History",7.5,5898,Abel Gance,Albert Dieudonné,Vladimir Roudenko,Edmond Van Daële,HU,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2
67,tt0018199,Nevada,1927,0,Western,6.6,65,John Waters,Gary Cooper,Thelma Todd,William Powell,AT,Male,Female,Male,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
68,tt0018455,Sunrise,1927,94,"Drama,Romance",8.2,35277,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,GR,Male,Female,Female,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2
69,tt0018528,The Unknown,1927,63,"Drama,Horror,Romance",7.9,5920,Tod Browning,Lon Chaney,Norman Kerry,Joan Crawford,US,Female,Male,Female,Male,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
70,tt0018578,Wings,1927,144,"Action,Drama,Romance",7.7,9053,,Clara Bow,Charles 'Buddy' Rogers,Richard Arlen,UY,Female,Male,Male,Unknown,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2
71,tt0018684,Beggars of Life,1928,100,"Adventure,Drama",7.8,692,William A. Wellman,Wallace Beery,Louise Brooks,Richard Arlen,PL,Male,Female,Male,Male,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
72,tt0018737,Pandora's Box,1929,109,"Crime,Drama,Romance",8.0,8192,Georg Wilhelm Pabst,Louise Brooks,Fritz Kortner,Francis Lederer,CA,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
73,tt0018742,The Cameraman,1928,69,"Comedy,Drama,Family",8.3,8472,,Buster Keaton,Marceline Day,Harold Goodwin,FR,Male,Female,Male,Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
74,tt0018773,The Circus,1928,72,"Comedy,Romance",8.1,20816,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,IT,Male,Female,Male,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
75,tt0018806,The Crowd,1928,98,"Drama,Romance",8.0,6274,King Vidor,Eleanor Boardman,James Murray,Bert Roach,RS,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
76,tt0018839,The Docks of New York,1928,76,"Crime,Drama,Film-Noir",7.7,3145,Josef von Sternberg,George Bancroft,Betty Compson,Olga Baclanova,AT,Male,Female,Female,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2
77,tt0018937,A Girl in Every Port,1928,78,"Action,Adventure,Comedy",6.8,519,Howard Hawks,Victor McLaglen,Robert Armstrong,Louise Brooks,ES,Male,Male,Female,Male,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
78,tt0019130,The Man Who Laughs,1928,110,"Drama,Horror,Mystery",7.8,4259,Paul Leni,Mary Philbin,Conrad Veidt,Julius Molnar,\N,Female,Male,Male,Male,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2
79,tt0019254,The Passion of Joan of Arc,1928,110,"Biography,Drama,History",8.2,32000,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,NO,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
